name	id	lat	lon
Singelmannsweg	276626911	53.5826869	10.1237556
Gustav-Freytag-Brücke	283020049	53.5736761	10.0150962
Nebendahlstraße	285309695	53.5769387	10.0660071
Tiroler Straße	285309703	53.5813315	10.066306
Habichtsweg	287132421	53.595681	10.0452407
Habichtsweg	287132422	53.5956698	10.0450212
Alsterterrasse	291737406	53.559728	9.9951673
Farmsener Landstraße	296105098	53.6500153	10.1631059
Ebelingstraße	305332674	53.4587165	9.9856998
Ebelingstraße	305332675	53.4587204	9.9858149
Rahel-Varnhagen-Weg	313842289	53.4861012	10.1819817
Binderstraße	315286281	53.5680863	9.9907961
Nienstedtener Marktplatz	321220595	53.5524958	9.8441645
Kornträgergang	321703980	53.5523543	9.9832724
Heckkatenweg	335331843	53.4953924	10.1926201
Kleine Brunnenstraße	335787437	53.5507862	9.926686
